sessionId,raceId,year,round,positionDisplayOrder,positionNumber,points,polePosition,status,driverNumber,driverId,constructorId,laps,time,timeMillis,gapMillis,gapLaps,fastestLap,fastestLapNumber,fastestLapTime,fastestLapTimeMillis,averageSpeed
fa-6,fa-1,2023,1,8,8,1,False,,10,abbi-pulling,rodin-carlin,12,18:49.183,1129183,11490,,False,10,1:32.829,92829,165.19
fa-6,fa-1,2023,1,9,9,0,False,,16,bianca-bustamante,prema-racing,12,18:49.633,1129633,11940,,False,10,1:32.836,92836,165.13
fa-6,fa-1,2023,1,10,10,0,False,,8,carrie-schreiner,art-grand-prix,12,18:51.200,1131200,13510,,False,6,1:33.286,93286,164.90
fa-6,fa-1,2023,1,11,11,0,False,,11,jessica-edgar,rodin-carlin,12,18:53.053,1133053,15360,,False,9,1:32.858,92858,164.63
fa-6,fa-1,2023,1,12,12,0,False,,12,megan-gilkes,rodin-carlin,12,18:54.175,1134175,16490,,False,8,1:32.798,92798,164.46
fa-6,fa-1,2023,1,13,13,0,False,,3,maite-caceres,campos-racing,12,19:05.512,1145512,17820,,False,10,1:33.826,93826,162.84
fa-6,fa-1,2023,1,14,14,0,False,,14,chloe-chong,prema-racing,12,19:08.141,1148141,30450,,False,5,1:33.641,93641,162.46
fa-6,fa-1,2023,1,15,15,0,False,,9,chloe-grant,art-grand-prix,4,12:00.362,720362,,4,False,1,1:41.552,101552,86.31
fa-7,fa-1,2023,1,1,1,27,True,,15,marta-garcia,prema-racing,16,24:50.619,1490619,,,False,4,1:32.314,92314,166.85
fa-7,fa-1,2023,1,2,2,18,False,,4,hamda-al-qubaisi,mp-motorsport,16,24:50.965,1490965,346,,False,10,1:32.276,92276,166.81
fa-7,fa-1,2023,1,3,3,15,False,,6,amna-al-qubaisi,mp-motorsport,16,24:51.774,1491774,1155,,False,14,1:32.455,92455,166.72
fa-7,fa-1,2023,1,4,4,13,False,,10,abbi-pulling,rodin-carlin,16,24:54.424,1494424,3805,,True,7,1:31.973,91973,166.42
fa-7,fa-1,2023,1,5,5,10,False,,1,nerea-marti,campos-racing,16,24:57.301,1497301,6682,,False,4,1:32.552,92552,166.11
fa-7,fa-1,2023,1,6,6,8,False,,7,lena-buhler,art-grand-prix,16,25.04:423,,13800,,False,10,1:32.912,92912,165.32
fa-7,fa-1,2023,1,7,7,6,False,,8,carrie-schreiner,art-grand-prix,16,25:05.804,1505804,15180,,False,7,1:33.247,93247,165.17
fa-7,fa-1,2023,1,8,8,4,False,,11,jessica-edgar,rodin-carlin,16,25:06.211,1506211,15590,,False,7,1:33.022,93022,165.12
fa-7,fa-1,2023,1,9,9,2,False,,9,chloe-grant,art-grand-prix,16,25:08.986,1508986,18360,,False,5,1:33.125,93125,164.82
fa-7,fa-1,2023,1,10,10,1,False,,12,megan-gilkes,rodin-carlin,16,25:09.206,1509206,18580,,False,13,1:33.221,93221,164.79
