seasonKey,year,positionNumber,constructorId,points,championshipWon
2022-23,2023,4,tag-heuer-porsche-formula-e-team,242,False
2022-23,2023,5,ds-penske,163,False
2022-23,2023,6,maserati-msg-racing,140,False
2022-23,2023,7,nissan-formula-e-team,95,False
2022-23,2023,8,neom-mclaren-formula-e-team,88,False
2022-23,2023,9,nio-333-racing,42,False
2022-23,2023,10,mahindra-racing,41,False
2022-23,2023,11,abt-cupra-formula-e-team,21,False
2023-24,2024,1,jaguar-tcs-racing,368,True
2023-24,2024,2,tag-heuer-porsche-formula-e-team,332,False
2023-24,2024,3,ds-penske,200,False
2023-24,2024,4,nissan-formula-e-team,182,False
2023-24,2024,5,andretti-formula-e,169,False
2023-24,2024,6,envision-racing,121,False
2023-24,2024,7,neom-mclaren-formula-e-team,101,False
2023-24,2024,8,maserati-msg-racing,81,False
2023-24,2024,9,abt-cupra-formula-e-team,56,False
2023-24,2024,10,mahindra-racing,47,False
2023-24,2024,11,ert-formula-e-team,23,False
2024-25,2025,1,tag-heuer-porsche-formula-e-team,256,True
2024-25,2025,2,jaguar-tcs-racing,227,False
2024-25,2025,3,nissan-formula-e-team,207,False
2024-25,2025,4,mahindra-racing,186,False
2024-25,2025,5,ds-penske,184,False
2024-25,2025,6,neom-mclaren-formula-e-team,143,False
2024-25,2025,7,andretti-formula-e,141,False
2024-25,2025,8,envision-racing,107,False
2024-25,2025,9,maserati-msg-racing,102,False
2024-25,2025,10,cupra-kiro,86,False
2024-25,2025,11,lola-yamaha-abt-formula-e-team,32,False
2025-26,2026,1,jaguar-tcs-racing,288,True
2025-26,2026,2,porsche-formula-e-team,271,False
2025-26,2026,3,mahindra-racing,252,False
2025-26,2026,4,andretti-formula-e,229,False
2025-26,2026,5,citroen-racing,182,False
2025-26,2026,6,nissan-formula-e-team,157,False
2025-26,2026,7,envision-racing,152,False
2025-26,2026,8,cupra-kiro,128,False
2025-26,2026,9,ds-penske,91,False
2025-26,2026,10,lola-yamaha-abt-formula-e-team,35,False
