raceId,seasonKey,year,round,driverNumber,driverId,constructorId,chassisId,engineId
fe-2014-15-r4-buenos-aires,2014-15,2015,4,27,jean-eric-vergne,andretti-autosport-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r4-buenos-aires,2014-15,2015,4,2,sam-bird,virgin-racing-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r4-buenos-aires,2014-15,2015,4,66,daniel-abt,audi-sport-abt-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r4-buenos-aires,2014-15,2015,4,11,lucas-di-grassi,audi-sport-abt-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r4-buenos-aires,2014-15,2015,4,9,sebastien-buemi,team-e-dams-renault,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r5-miami,2014-15,2015,5,66,daniel-abt,audi-sport-abt-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r5-miami,2014-15,2015,5,99,nelson-piquet-jr,china-racing-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r5-miami,2014-15,2015,5,55,antonio-felix-da-costa,amlin-aguri,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r5-miami,2014-15,2015,5,2,sam-bird,virgin-racing-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r5-miami,2014-15,2015,5,11,lucas-di-grassi,audi-sport-abt-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r5-miami,2014-15,2015,5,9,sebastien-buemi,team-e-dams-renault,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r5-miami,2014-15,2015,5,27,jean-eric-vergne,andretti-autosport-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r6-long-beach,2014-15,2015,6,99,nelson-piquet-jr,china-racing-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r6-long-beach,2014-15,2015,6,27,jean-eric-vergne,andretti-autosport-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r6-long-beach,2014-15,2015,6,11,lucas-di-grassi,audi-sport-abt-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r6-long-beach,2014-15,2015,6,9,sebastien-buemi,team-e-dams-renault,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r6-long-beach,2014-15,2015,6,55,antonio-felix-da-costa,amlin-aguri,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r6-long-beach,2014-15,2015,6,66,daniel-abt,audi-sport-abt-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r6-long-beach,2014-15,2015,6,2,sam-bird,virgin-racing-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r7-monaco,2014-15,2015,7,9,sebastien-buemi,team-e-dams-renault,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r7-monaco,2014-15,2015,7,11,lucas-di-grassi,audi-sport-abt-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r7-monaco,2014-15,2015,7,99,nelson-piquet-jr,china-racing-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r7-monaco,2014-15,2015,7,2,sam-bird,virgin-racing-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r7-monaco,2014-15,2015,7,55,antonio-felix-da-costa,amlin-aguri,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r7-monaco,2014-15,2015,7,66,daniel-abt,audi-sport-abt-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r7-monaco,2014-15,2015,7,27,jean-eric-vergne,andretti-autosport-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r8-berlin,2014-15,2015,8,9,sebastien-buemi,team-e-dams-renault,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r8-berlin,2014-15,2015,8,99,nelson-piquet-jr,china-racing-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r8-berlin,2014-15,2015,8,27,jean-eric-vergne,andretti-autosport-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r8-berlin,2014-15,2015,8,2,sam-bird,virgin-racing-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r8-berlin,2014-15,2015,8,55,antonio-felix-da-costa,amlin-aguri,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r8-berlin,2014-15,2015,8,66,daniel-abt,audi-sport-abt-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r8-berlin,2014-15,2015,8,11,lucas-di-grassi,audi-sport-abt-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r9-moscow,2014-15,2015,9,99,nelson-piquet-jr,china-racing-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r9-moscow,2014-15,2015,9,11,lucas-di-grassi,audi-sport-abt-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r9-moscow,2014-15,2015,9,27,jean-eric-vergne,andretti-autosport-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r9-moscow,2014-15,2015,9,66,daniel-abt,audi-sport-abt-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r9-moscow,2014-15,2015,9,55,antonio-felix-da-costa,amlin-aguri,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r9-moscow,2014-15,2015,9,9,sebastien-buemi,team-e-dams-renault,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r9-moscow,2014-15,2015,9,2,sam-bird,virgin-racing-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r10-london,2014-15,2015,10,9,sebastien-buemi,team-e-dams-renault,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r10-london,2014-15,2015,10,27,jean-eric-vergne,andretti-autosport-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r10-london,2014-15,2015,10,11,lucas-di-grassi,audi-sport-abt-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r10-london,2014-15,2015,10,99,nelson-piquet-jr,china-racing-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r10-london,2014-15,2015,10,2,sam-bird,virgin-racing-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r10-london,2014-15,2015,10,88,oliver-turvey,china-racing-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r10-london,2014-15,2015,10,66,daniel-abt,audi-sport-abt-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r11-london,2014-15,2015,11,2,sam-bird,virgin-racing-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r11-london,2014-15,2015,11,9,sebastien-buemi,team-e-dams-renault,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r11-london,2014-15,2015,11,11,lucas-di-grassi,audi-sport-abt-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r11-london,2014-15,2015,11,99,nelson-piquet-jr,china-racing-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r11-london,2014-15,2015,11,88,oliver-turvey,china-racing-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r11-london,2014-15,2015,11,66,daniel-abt,audi-sport-abt-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r11-london,2014-15,2015,11,27,jean-eric-vergne,andretti-autosport-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r1-beijing,2014-15,2015,1,27,franck-montagny,andretti-autosport-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r1-beijing,2014-15,2015,1,28,charles-pic,andretti-autosport-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r1-beijing,2014-15,2015,1,5,karun-chandhok,mahindra-racing-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r1-beijing,2014-15,2015,1,7,jerome-d-ambrosio,dragon-racing-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r1-beijing,2014-15,2015,1,6,oriol-servia,dragon-racing-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r1-beijing,2014-15,2015,1,30,stephane-sarrazin,venturi-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r1-beijing,2014-15,2015,1,3,jaime-alguersuari,virgin-racing-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r1-beijing,2014-15,2015,1,8,nicolas-prost,team-e-dams-renault,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r1-beijing,2014-15,2015,1,23,nick-heidfeld,venturi-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r1-beijing,2014-15,2015,1,18,michela-cerruti,trulli-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r1-beijing,2014-15,2015,1,77,katherine-legge,amlin-aguri,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r1-beijing,2014-15,2015,1,88,ho-pin-tung,china-racing-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r1-beijing,2014-15,2015,1,55,takuma-sato,amlin-aguri,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r1-beijing,2014-15,2015,1,10,jarno-trulli,trulli-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r1-beijing,2014-15,2015,1,21,bruno-senna,mahindra-racing-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r2-putrajaya,2014-15,2015,2,8,nicolas-prost,team-e-dams-renault,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r2-putrajaya,2014-15,2015,2,7,jerome-d-ambrosio,dragon-racing-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r2-putrajaya,2014-15,2015,2,5,karun-chandhok,mahindra-racing-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r2-putrajaya,2014-15,2015,2,6,oriol-servia,dragon-racing-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r2-putrajaya,2014-15,2015,2,3,jaime-alguersuari,virgin-racing-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r2-putrajaya,2014-15,2015,2,88,ho-pin-tung,china-racing-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r2-putrajaya,2014-15,2015,2,30,stephane-sarrazin,venturi-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r2-putrajaya,2014-15,2015,2,28,matthew-brabham,andretti-autosport-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r2-putrajaya,2014-15,2015,2,21,bruno-senna,mahindra-racing-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r2-putrajaya,2014-15,2015,2,27,franck-montagny,andretti-autosport-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r2-putrajaya,2014-15,2015,2,77,katherine-legge,amlin-aguri,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r2-putrajaya,2014-15,2015,2,10,jarno-trulli,trulli-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r2-putrajaya,2014-15,2015,2,18,michela-cerruti,trulli-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r2-putrajaya,2014-15,2015,2,23,nick-heidfeld,venturi-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r3-punta-del-este,2014-15,2015,3,10,jarno-trulli,trulli-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r3-punta-del-este,2014-15,2015,3,3,jaime-alguersuari,virgin-racing-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r3-punta-del-este,2014-15,2015,3,21,bruno-senna,mahindra-racing-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r3-punta-del-este,2014-15,2015,3,8,nicolas-prost,team-e-dams-renault,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r3-punta-del-este,2014-15,2015,3,7,jerome-d-ambrosio,dragon-racing-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r3-punta-del-este,2014-15,2015,3,6,oriol-servia,dragon-racing-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r3-punta-del-este,2014-15,2015,3,23,nick-heidfeld,venturi-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r3-punta-del-este,2014-15,2015,3,88,antonio-garcia,china-racing-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r3-punta-del-este,2014-15,2015,3,18,michela-cerruti,trulli-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r3-punta-del-este,2014-15,2015,3,5,karun-chandhok,mahindra-racing-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r3-punta-del-este,2014-15,2015,3,77,salvador-duran,amlin-aguri,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r3-punta-del-este,2014-15,2015,3,28,matthew-brabham,andretti-autosport-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r3-punta-del-este,2014-15,2015,3,30,stephane-sarrazin,venturi-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r4-buenos-aires,2014-15,2015,4,8,nicolas-prost,team-e-dams-renault,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r4-buenos-aires,2014-15,2015,4,3,jaime-alguersuari,virgin-racing-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r4-buenos-aires,2014-15,2015,4,21,bruno-senna,mahindra-racing-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r4-buenos-aires,2014-15,2015,4,23,nick-heidfeld,venturi-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r4-buenos-aires,2014-15,2015,4,6,oriol-servia,dragon-racing-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r4-buenos-aires,2014-15,2015,4,30,stephane-sarrazin,venturi-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r4-buenos-aires,2014-15,2015,4,88,ho-pin-tung,china-racing-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r4-buenos-aires,2014-15,2015,4,28,marco-andretti,andretti-autosport-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r4-buenos-aires,2014-15,2015,4,7,jerome-d-ambrosio,dragon-racing-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r4-buenos-aires,2014-15,2015,4,10,jarno-trulli,trulli-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r4-buenos-aires,2014-15,2015,4,18,michela-cerruti,trulli-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r4-buenos-aires,2014-15,2015,4,5,karun-chandhok,mahindra-racing-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r4-buenos-aires,2014-15,2015,4,77,salvador-duran,amlin-aguri,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r5-miami,2014-15,2015,5,8,nicolas-prost,team-e-dams-renault,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r5-miami,2014-15,2015,5,28,scott-speed,andretti-autosport-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r5-miami,2014-15,2015,5,7,jerome-d-ambrosio,dragon-racing-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r5-miami,2014-15,2015,5,6,loic-duval,dragon-racing-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r5-miami,2014-15,2015,5,77,salvador-duran,amlin-aguri,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r5-miami,2014-15,2015,5,3,jaime-alguersuari,virgin-racing-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r5-miami,2014-15,2015,5,23,nick-heidfeld,venturi-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r5-miami,2014-15,2015,5,5,karun-chandhok,mahindra-racing-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r5-miami,2014-15,2015,5,10,jarno-trulli,trulli-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r5-miami,2014-15,2015,5,18,vitantonio-liuzzi,trulli-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r5-miami,2014-15,2015,5,88,charles-pic,china-racing-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r5-miami,2014-15,2015,5,30,stephane-sarrazin,venturi-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r5-miami,2014-15,2015,5,21,bruno-senna,mahindra-racing-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r6-long-beach,2014-15,2015,6,21,bruno-senna,mahindra-racing-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r6-long-beach,2014-15,2015,6,7,jerome-d-ambrosio,dragon-racing-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r6-long-beach,2014-15,2015,6,3,jaime-alguersuari,virgin-racing-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r6-long-beach,2014-15,2015,6,6,loic-duval,dragon-racing-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r6-long-beach,2014-15,2015,6,30,stephane-sarrazin,venturi-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r6-long-beach,2014-15,2015,6,23,nick-heidfeld,venturi-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r6-long-beach,2014-15,2015,6,5,karun-chandhok,mahindra-racing-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r6-long-beach,2014-15,2015,6,18,vitantonio-liuzzi,trulli-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r6-long-beach,2014-15,2015,6,8,nicolas-prost,team-e-dams-renault,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r6-long-beach,2014-15,2015,6,88,charles-pic,china-racing-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r6-long-beach,2014-15,2015,6,77,salvador-duran,amlin-aguri,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r6-long-beach,2014-15,2015,6,10,jarno-trulli,trulli-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r6-long-beach,2014-15,2015,6,28,scott-speed,andretti-autosport-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r7-monaco,2014-15,2015,7,7,jerome-d-ambrosio,dragon-racing-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r7-monaco,2014-15,2015,7,8,nicolas-prost,team-e-dams-renault,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r7-monaco,2014-15,2015,7,30,stephane-sarrazin,venturi-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r7-monaco,2014-15,2015,7,88,charles-pic,nextev-tcr-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r7-monaco,2014-15,2015,7,23,nick-heidfeld,venturi-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r7-monaco,2014-15,2015,7,10,jarno-trulli,trulli-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r7-monaco,2014-15,2015,7,28,scott-speed,andretti-autosport-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r7-monaco,2014-15,2015,7,5,karun-chandhok,mahindra-racing-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r7-monaco,2014-15,2015,7,18,vitantonio-liuzzi,trulli-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r7-monaco,2014-15,2015,7,77,salvador-duran,amlin-aguri,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r7-monaco,2014-15,2015,7,6,loic-duval,dragon-racing-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r7-monaco,2014-15,2015,7,3,jaime-alguersuari,virgin-racing-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r7-monaco,2014-15,2015,7,21,bruno-senna,mahindra-racing-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r8-berlin,2014-15,2015,8,7,jerome-d-ambrosio,dragon-racing-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r8-berlin,2014-15,2015,8,6,loic-duval,dragon-racing-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r8-berlin,2014-15,2015,8,23,nick-heidfeld,venturi-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r8-berlin,2014-15,2015,8,30,stephane-sarrazin,venturi-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r8-berlin,2014-15,2015,8,18,vitantonio-liuzzi,trulli-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r8-berlin,2014-15,2015,8,8,nicolas-prost,team-e-dams-renault,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r8-berlin,2014-15,2015,8,3,jaime-alguersuari,virgin-racing-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r8-berlin,2014-15,2015,8,28,scott-speed,andretti-autosport-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r8-berlin,2014-15,2015,8,88,charles-pic,nextev-tcr-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r8-berlin,2014-15,2015,8,77,salvador-duran,amlin-aguri,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r8-berlin,2014-15,2015,8,21,bruno-senna,mahindra-racing-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r8-berlin,2014-15,2015,8,5,karun-chandhok,mahindra-racing-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r8-berlin,2014-15,2015,8,10,jarno-trulli,trulli-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r9-moscow,2014-15,2015,9,23,nick-heidfeld,venturi-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r9-moscow,2014-15,2015,9,77,salvador-duran,amlin-aguri,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r9-moscow,2014-15,2015,9,8,nicolas-prost,team-e-dams-renault,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r9-moscow,2014-15,2015,9,28,justin-wilson,andretti-autosport-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r9-moscow,2014-15,2015,9,7,jerome-d-ambrosio,dragon-racing-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r9-moscow,2014-15,2015,9,5,karun-chandhok,mahindra-racing-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
