raceId,seasonKey,year,round,driverNumber,driverId,constructorId
fe-2015-16-r5-mexico-city,2015-16,2016,5,55,antonio-felix-da-costa,team-aguri
fe-2015-16-r5-mexico-city,2015-16,2016,5,11,lucas-di-grassi,abt-schaeffler-audi-sport
fe-2015-16-r6-long-beach,2015-16,2016,6,11,lucas-di-grassi,abt-schaeffler-audi-sport
fe-2015-16-r6-long-beach,2015-16,2016,6,66,daniel-abt,abt-schaeffler-audi-sport
fe-2015-16-r6-long-beach,2015-16,2016,6,2,sam-bird,ds-virgin-racing-formula-e-team
fe-2015-16-r6-long-beach,2015-16,2016,6,88,oliver-turvey,nextev-tcr-formula-e-team
fe-2015-16-r6-long-beach,2015-16,2016,6,25,jean-eric-vergne,ds-virgin-racing-formula-e-team
fe-2015-16-r6-long-beach,2015-16,2016,6,27,robin-frijns,andretti-formula-e-team
fe-2015-16-r6-long-beach,2015-16,2016,6,9,sebastien-buemi,renault-e-dams
fe-2015-16-r6-long-beach,2015-16,2016,6,55,antonio-felix-da-costa,team-aguri
fe-2015-16-r6-long-beach,2015-16,2016,6,1,nelson-piquet-jr,nextev-tcr-formula-e-team
fe-2015-16-r7-paris,2015-16,2016,7,11,lucas-di-grassi,abt-schaeffler-audi-sport
fe-2015-16-r7-paris,2015-16,2016,7,25,jean-eric-vergne,ds-virgin-racing-formula-e-team
fe-2015-16-r7-paris,2015-16,2016,7,9,sebastien-buemi,renault-e-dams
fe-2015-16-r7-paris,2015-16,2016,7,2,sam-bird,ds-virgin-racing-formula-e-team
fe-2015-16-r7-paris,2015-16,2016,7,27,robin-frijns,andretti-formula-e-team
fe-2015-16-r7-paris,2015-16,2016,7,55,antonio-felix-da-costa,team-aguri
fe-2015-16-r7-paris,2015-16,2016,7,66,daniel-abt,abt-schaeffler-audi-sport
fe-2015-16-r7-paris,2015-16,2016,7,88,oliver-turvey,nextev-tcr-formula-e-team
fe-2015-16-r7-paris,2015-16,2016,7,1,nelson-piquet-jr,nextev-tcr-formula-e-team
fe-2015-16-r8-berlin,2015-16,2016,8,9,sebastien-buemi,renault-e-dams
fe-2015-16-r8-berlin,2015-16,2016,8,66,daniel-abt,abt-schaeffler-audi-sport
fe-2015-16-r8-berlin,2015-16,2016,8,11,lucas-di-grassi,abt-schaeffler-audi-sport
fe-2015-16-r8-berlin,2015-16,2016,8,25,jean-eric-vergne,ds-virgin-racing-formula-e-team
fe-2015-16-r8-berlin,2015-16,2016,8,27,robin-frijns,andretti-formula-e-team
fe-2015-16-r8-berlin,2015-16,2016,8,2,sam-bird,ds-virgin-racing-formula-e-team
fe-2015-16-r8-berlin,2015-16,2016,8,88,oliver-turvey,nextev-tcr-formula-e-team
fe-2015-16-r8-berlin,2015-16,2016,8,1,nelson-piquet-jr,nextev-tcr-formula-e-team
fe-2015-16-r8-berlin,2015-16,2016,8,55,rene-rast,team-aguri
fe-2015-16-r9-london,2015-16,2016,9,25,jean-eric-vergne,ds-virgin-racing-formula-e-team
fe-2015-16-r9-london,2015-16,2016,9,11,lucas-di-grassi,abt-schaeffler-audi-sport
fe-2015-16-r9-london,2015-16,2016,9,9,sebastien-buemi,renault-e-dams
fe-2015-16-r9-london,2015-16,2016,9,55,antonio-felix-da-costa,team-aguri
fe-2015-16-r9-london,2015-16,2016,9,2,sam-bird,ds-virgin-racing-formula-e-team
fe-2015-16-r9-london,2015-16,2016,9,1,nelson-piquet-jr,nextev-tcr-formula-e-team
fe-2015-16-r9-london,2015-16,2016,9,88,oliver-turvey,nextev-tcr-formula-e-team
fe-2015-16-r9-london,2015-16,2016,9,27,robin-frijns,andretti-formula-e-team
fe-2015-16-r9-london,2015-16,2016,9,66,daniel-abt,abt-schaeffler-audi-sport
fe-2015-16-r10-london,2015-16,2016,10,66,daniel-abt,abt-schaeffler-audi-sport
fe-2015-16-r10-london,2015-16,2016,10,25,jean-eric-vergne,ds-virgin-racing-formula-e-team
fe-2015-16-r10-london,2015-16,2016,10,1,nelson-piquet-jr,nextev-tcr-formula-e-team
fe-2015-16-r10-london,2015-16,2016,10,88,oliver-turvey,nextev-tcr-formula-e-team
fe-2015-16-r10-london,2015-16,2016,10,55,antonio-felix-da-costa,team-aguri
fe-2015-16-r10-london,2015-16,2016,10,27,robin-frijns,andretti-formula-e-team
fe-2015-16-r10-london,2015-16,2016,10,2,sam-bird,ds-virgin-racing-formula-e-team
fe-2015-16-r10-london,2015-16,2016,10,11,lucas-di-grassi,abt-schaeffler-audi-sport
fe-2015-16-r10-london,2015-16,2016,10,9,sebastien-buemi,renault-e-dams
fe-2015-16-r1-beijing,2015-16,2016,1,23,nick-heidfeld,mahindra-racing-formula-e-team
fe-2015-16-r1-beijing,2015-16,2016,1,6,loic-duval,dragon-racing
fe-2015-16-r1-beijing,2015-16,2016,1,7,jerome-d-ambrosio,dragon-racing
fe-2015-16-r1-beijing,2015-16,2016,1,77,nathanael-berthon,team-aguri
fe-2015-16-r1-beijing,2015-16,2016,1,4,stephane-sarrazin,venturi-formula-e-team
fe-2015-16-r1-beijing,2015-16,2016,1,21,bruno-senna,mahindra-racing-formula-e-team
fe-2015-16-r1-beijing,2015-16,2016,1,12,jacques-villeneuve,venturi-formula-e-team
fe-2015-16-r1-beijing,2015-16,2016,1,8,nicolas-prost,renault-e-dams
fe-2015-16-r1-beijing,2015-16,2016,1,28,simona-de-silvestro,andretti-formula-e-race-team
fe-2015-16-r2-putrajaya,2015-16,2016,2,4,stephane-sarrazin,venturi-formula-e-team
fe-2015-16-r2-putrajaya,2015-16,2016,2,21,bruno-senna,mahindra-racing-formula-e-team
fe-2015-16-r2-putrajaya,2015-16,2016,2,23,nick-heidfeld,mahindra-racing-formula-e-team
fe-2015-16-r2-putrajaya,2015-16,2016,2,8,nicolas-prost,renault-e-dams
fe-2015-16-r2-putrajaya,2015-16,2016,2,12,jacques-villeneuve,venturi-formula-e-team
fe-2015-16-r2-putrajaya,2015-16,2016,2,28,simona-de-silvestro,andretti-formula-e-race-team
fe-2015-16-r2-putrajaya,2015-16,2016,2,7,jerome-d-ambrosio,dragon-racing
fe-2015-16-r2-putrajaya,2015-16,2016,2,77,nathanael-berthon,team-aguri
fe-2015-16-r2-putrajaya,2015-16,2016,2,6,loic-duval,dragon-racing
fe-2015-16-r3-punta-del-este,2015-16,2016,3,7,jerome-d-ambrosio,dragon-racing
fe-2015-16-r3-punta-del-este,2015-16,2016,3,6,loic-duval,dragon-racing
fe-2015-16-r3-punta-del-este,2015-16,2016,3,8,nicolas-prost,renault-e-dams
fe-2015-16-r3-punta-del-este,2015-16,2016,3,4,stephane-sarrazin,venturi-formula-e-team
fe-2015-16-r3-punta-del-este,2015-16,2016,3,28,simona-de-silvestro,andretti-formula-e-race-team
fe-2015-16-r3-punta-del-este,2015-16,2016,3,77,nathanael-berthon,team-aguri
fe-2015-16-r3-punta-del-este,2015-16,2016,3,21,bruno-senna,mahindra-racing-formula-e-team
fe-2015-16-r4-buenos-aires,2015-16,2016,4,4,stephane-sarrazin,venturi-formula-e-team
fe-2015-16-r4-buenos-aires,2015-16,2016,4,8,nicolas-prost,renault-e-dams
fe-2015-16-r4-buenos-aires,2015-16,2016,4,6,loic-duval,dragon-racing
fe-2015-16-r4-buenos-aires,2015-16,2016,4,23,nick-heidfeld,mahindra-racing-formula-e-team
fe-2015-16-r4-buenos-aires,2015-16,2016,4,21,bruno-senna,mahindra-racing-formula-e-team
fe-2015-16-r4-buenos-aires,2015-16,2016,4,28,simona-de-silvestro,andretti-formula-e-race-team
fe-2015-16-r4-buenos-aires,2015-16,2016,4,12,mike-conway,venturi-formula-e-team
fe-2015-16-r4-buenos-aires,2015-16,2016,4,7,jerome-d-ambrosio,dragon-racing
fe-2015-16-r4-buenos-aires,2015-16,2016,4,77,salvador-duran,team-aguri
fe-2015-16-r5-mexico-city,2015-16,2016,5,7,jerome-d-ambrosio,dragon-racing
fe-2015-16-r5-mexico-city,2015-16,2016,5,8,nicolas-prost,renault-e-dams
fe-2015-16-r5-mexico-city,2015-16,2016,5,6,loic-duval,dragon-racing
fe-2015-16-r5-mexico-city,2015-16,2016,5,23,nick-heidfeld,mahindra-racing-formula-e-team
fe-2015-16-r5-mexico-city,2015-16,2016,5,4,stephane-sarrazin,venturi-formula-e-team
fe-2015-16-r5-mexico-city,2015-16,2016,5,21,bruno-senna,mahindra-racing-formula-e-team
fe-2015-16-r5-mexico-city,2015-16,2016,5,12,mike-conway,venturi-formula-e-team
fe-2015-16-r5-mexico-city,2015-16,2016,5,28,simona-de-silvestro,andretti-formula-e-race-team
fe-2015-16-r5-mexico-city,2015-16,2016,5,77,salvador-duran,team-aguri
fe-2015-16-r6-long-beach,2015-16,2016,6,4,stephane-sarrazin,venturi-formula-e-team
fe-2015-16-r6-long-beach,2015-16,2016,6,23,nick-heidfeld,mahindra-racing-formula-e-team
fe-2015-16-r6-long-beach,2015-16,2016,6,21,bruno-senna,mahindra-racing-formula-e-team
fe-2015-16-r6-long-beach,2015-16,2016,6,7,jerome-d-ambrosio,dragon-racing
fe-2015-16-r6-long-beach,2015-16,2016,6,6,loic-duval,dragon-racing
fe-2015-16-r6-long-beach,2015-16,2016,6,28,simona-de-silvestro,andretti-formula-e-race-team
fe-2015-16-r6-long-beach,2015-16,2016,6,12,mike-conway,venturi-formula-e-team
fe-2015-16-r6-long-beach,2015-16,2016,6,8,nicolas-prost,renault-e-dams
fe-2015-16-r6-long-beach,2015-16,2016,6,77,salvador-duran,team-aguri
fe-2015-16-r7-paris,2015-16,2016,7,8,nicolas-prost,renault-e-dams
fe-2015-16-r7-paris,2015-16,2016,7,4,stephane-sarrazin,venturi-formula-e-team
fe-2015-16-r7-paris,2015-16,2016,7,21,bruno-senna,mahindra-racing-formula-e-team
fe-2015-16-r7-paris,2015-16,2016,7,7,jerome-d-ambrosio,dragon-racing
fe-2015-16-r7-paris,2015-16,2016,7,23,nick-heidfeld,mahindra-racing-formula-e-team
fe-2015-16-r7-paris,2015-16,2016,7,12,mike-conway,venturi-formula-e-team
fe-2015-16-r7-paris,2015-16,2016,7,28,simona-de-silvestro,andretti-formula-e-race-team
fe-2015-16-r7-paris,2015-16,2016,7,77,ma-qinghua,team-aguri
fe-2015-16-r7-paris,2015-16,2016,7,6,loic-duval,dragon-racing
fe-2015-16-r8-berlin,2015-16,2016,8,8,nicolas-prost,renault-e-dams
fe-2015-16-r8-berlin,2015-16,2016,8,23,nick-heidfeld,mahindra-racing-formula-e-team
fe-2015-16-r8-berlin,2015-16,2016,8,12,mike-conway,venturi-formula-e-team
fe-2015-16-r8-berlin,2015-16,2016,8,28,simona-de-silvestro,andretti-formula-e-race-team
fe-2015-16-r8-berlin,2015-16,2016,8,4,stephane-sarrazin,venturi-formula-e-team
fe-2015-16-r8-berlin,2015-16,2016,8,77,ma-qinghua,team-aguri
fe-2015-16-r8-berlin,2015-16,2016,8,21,bruno-senna,mahindra-racing-formula-e-team
fe-2015-16-r8-berlin,2015-16,2016,8,7,jerome-d-ambrosio,dragon-racing
fe-2015-16-r8-berlin,2015-16,2016,8,6,loic-duval,dragon-racing
fe-2015-16-r9-london,2015-16,2016,9,8,nicolas-prost,renault-e-dams
fe-2015-16-r9-london,2015-16,2016,9,21,bruno-senna,mahindra-racing-formula-e-team
fe-2015-16-r9-london,2015-16,2016,9,7,jerome-d-ambrosio,dragon-racing
fe-2015-16-r9-london,2015-16,2016,9,12,mike-conway,venturi-formula-e-team
fe-2015-16-r9-london,2015-16,2016,9,4,stephane-sarrazin,venturi-formula-e-team
fe-2015-16-r9-london,2015-16,2016,9,77,ma-qinghua,team-aguri
fe-2015-16-r9-london,2015-16,2016,9,23,nick-heidfeld,mahindra-racing-formula-e-team
fe-2015-16-r9-london,2015-16,2016,9,28,simona-de-silvestro,andretti-formula-e-race-team
fe-2015-16-r9-london,2015-16,2016,9,6,loic-duval,dragon-racing
fe-2015-16-r10-london,2015-16,2016,10,8,nicolas-prost,renault-e-dams
fe-2015-16-r10-london,2015-16,2016,10,7,jerome-d-ambrosio,dragon-racing
fe-2015-16-r10-london,2015-16,2016,10,6,loic-duval,dragon-racing
fe-2015-16-r10-london,2015-16,2016,10,4,stephane-sarrazin,venturi-formula-e-team
fe-2015-16-r10-london,2015-16,2016,10,21,bruno-senna,mahindra-racing-formula-e-team
fe-2015-16-r10-london,2015-16,2016,10,23,nick-heidfeld,mahindra-racing-formula-e-team
fe-2015-16-r10-london,2015-16,2016,10,77,ma-qinghua,team-aguri
fe-2015-16-r10-london,2015-16,2016,10,12,mike-conway,venturi-formula-e-team
fe-2015-16-r10-london,2015-16,2016,10,28,simona-de-silvestro,andretti-formula-e-race-team
